DR2Name,KIC,RA,Dec,Gmag,BP_RP,parallax,pmra,pmde,rv_gaia,erv_gaia,Prot,RV_lam,e_RV_lam,Teff_lam,e_Teff_lam,logg_lam,e_logg_lam,feh_lam,e_feh_lam,afe_lam,e_afe_lam
Gaia DR2 2129102532303815168,10073595,291.19999,47.096899,14.1719,1.00585,0.81981156,0.90827537,-8.6171488,0.0000000,NaN,14.9540,-71.7793,5.54016,5271.45,29.5760,3.73151,0.0744772,-0.816366,0.0438389,0.164038,0.0171897
Gaia DR2 2129102188706441472,10073772,291.27104,47.056433,13.1315,0.754524,1.7275340,7.8542227,8.1607842,0.0000000,NaN,13.9540,-28.4293,4.61980,6004.39,18.3443,4.36936,0.0366203,-0.0997510,0.0340114,0.0485367,0.0140454
Gaia DR2 2129101638950172032,10073997,291.35624,47.068214,14.0201,1.05307,1.6731718,-0.13309710,-18.479404,0.0000000,NaN,15.6490,-25.7072,8.65501,5246.00,82.3100,4.53654,0.139775,-0.160620,0.0809446,0.0165509,0.0467085
Gaia DR2 2129107544528366720,10074067,291.38059,47.082948,12.6554,0.623893,0.85504309,1.3657975,0.88171411,0.0000000,NaN,5.86800,-2.91998,5.30033,6603.39,17.9051,3.93318,0.0325019,-0.0938647,0.0301582,0.0817721,0.0122373
Gaia DR2 2129104456448754688,10074226,291.44478,47.067196,15.5772,1.34783,0.13609421,-2.0943752,-4.0344475,0.0000000,NaN,11.4900,-31.6191,4.97955,4731.90,37.9589,2.95327,0.0911243,-0.118272,0.0372513,0.0373370,0.0230045
Gaia DR2 2129091537187148416,10074520,291.55282,47.008175,13.3755,1.29789,4.5518835,2.2893535,23.438029,0.0000000,NaN,25.0010,-40.8797,3.33969,4776.15,18.0285,4.72727,0.0335450,-0.174802,0.0259247,0.0842980,0.00848324
Gaia DR2 2129116344918377088,10075065,291.76959,47.088768,13.1861,0.776812,0.83823303,1.0219493,3.6450815,0.0000000,NaN,5.12700,-14.7588,4.38896,5951.62,20.8571,4.06995,0.0442087,-0.367238,0.0405539,0.0567474,0.0153012
Gaia DR2 2129113630499063552,10075215,291.82760,47.089465,13.8426,0.797946,1.3357151,-11.409787,-22.622848,0.0000000,NaN,13.3120,-33.4808,6.01084,5855.32,25.7284,4.28952,0.0585007,0.0789864,0.0392061,-0.00138883,0.0209013
Gaia DR2 2128388158978402816,10078440,293.13907,47.005497,15.6691,NaN,0.85587138,1.1091489,-1.4598255,0.0000000,NaN,6.81800,-68.9733,15.9789,5644.77,86.1004,4.21942,0.189583,-0.472550,0.0973848,0.0999634,0.0652735
Gaia DR2 2128388158983486464,10078440,293.13865,47.005709,14.3150,0.904018,0.92698041,0.86573749,-2.0175905,0.0000000,NaN,6.81800,-68.9733,15.9789,5644.77,86.1004,4.21942,0.189583,-0.472550,0.0973848,0.0999634,0.0652735
